,0,1,ano,periodo,grupo,consulta,Fonte de Recurso,Dotação Inicial,Autorizado,Empenhado,Liquidado,Pago,Pago Exercício Anterior,A Pagar Exercício Anterior
0,,,2019,Consolidado,Estado,Fonte de Recurso,,,,,,,,
1,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações  Data: 29/03/2019,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações  Data: 29/03/2019,2019,Consolidado,Estado,Fonte de Recurso,,,,,,,,
2,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações,Data: 29/03/2019,2019,Consolidado,Estado,Fonte de Recurso,,,,,,,,
3,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações,Data: 29/03/2019,2019,Consolidado,Estado,Fonte de Recurso,,,,,,,,
4,,,2019,Consolidado,Estado,Fonte de Recurso,,,,,,,,
5,,,2019,Consolidado,Estado,Fonte de Recurso,"function setup() { }  function imprimirRelatorio(tipoDownload) {  var ano = document.getElementById('anoexercicio').value;  var mes = document.getElementById('mes').value;  var mesFinal = document.getElementById('mesFinal').value;  document.execDespAnoEstadoFonteForm.action= ""execDespAnoEstadoFonte.do?method=Consultar&anoexercicio=""+ano+""&mesFinal=""+mesFinal+""&mes=""+mes+""&tipoDownload=""+tipoDownload;  document.execDespAnoEstadoFonteForm.submit(); 	}  function showAno() {  var ano = document.getElementById(""anoexercicio"").value;  var grupo = document.getElementById(""grupo"").value;  var consulta = document.getElementById(""consulta"").value;  var mes = document.getElementById(""mes"").value;  var mesFinal = document.getElementById('mesFinal').value;  document.execDespAnoEstadoFonteForm.action=""execDespAno.do?method=Pesquisar&anoexercicio=""+ano+""&grupo=""+grupo+""&consulta=""+consulta+""&mes=""+mes+""&mesFinal=""+mesFinal;  document.execDespAnoEstadoFonteForm.submit(); }  Despesas::Estado::Fonte de Recurso  Ano  2019  DOWNLOAD  Lista das Fontes de Recursos  Fonte de Recurso Dotação Inicial Autorizado Empenhado Liquidado Pago Pago Exercício Anterior A Pagar Exercício Anterior  Total:  17,297,084,000.00 17,748,335,786.65 4,376,065,637.36 3,425,936,306.12 3,043,822,930.73 437,821,842.19 187,535,541.97 01000000 - Recursos Ordinários  8,879,047,000.00 8,879,047,000.00 2,428,777,999.55 2,205,880,522.43 2,004,043,830.84 180,564,446.52 118,820,120.83  01100000 - Recursos de Depósitos Judiciais da LC 151/2015  25,080,000.00 101,781,347.78 53,654,977.28 53,648,719.65 53,648,719.65 0.00 0.00  01110000 - Acordos - Recofarma  1,569,000.00 1,569,000.00 0.00 0.00 0.00 0.00 0.00  01120000 - Acordos - Visteon  29,000.00 29,000.00 0.00 0.00 0.00 0.00 0.00  01130000 - Acordos - Manaus Refrigerante  1,000.00 1,000.00 0.00 0.00 0.00 0.00 0.00  01140000 - Acordos - Pepsi-Cola  404,000.00 404,000.00 0.00 0.00 0.00 0.00 0.00  01150000 - Alienação de Bens  951,000.00 951,000.00 0.00 0.00 0.00 0.00 0.00  01160000 - Contribuição para o Desenvolvimento do Ensino Superior  413,659,000.00 413,659,000.00 101,238,611.25 83,696,138.88 63,577,468.05 9,644,522.87 962,125.51  01180000 - RECURSOS DO FECOP  26,080,000.00 26,080,000.00 0.00 0.00 0.00 3,749,238.15 220,359.36  01190000 - Outras Contribuições Decorrentes de Incentivos Fiscais e Extra-Fiscais  22,489,000.00 22,489,000.00 0.00 0.00 0.00 171,893.81 0.00  01200000 - Contribuição do Desenvolvimento Humano  437,000.00 437,000.00 0.00 0.00 0.00 0.00 0.00  01210000 - Cotaparte do Fundo de Participação dos Estados e do Distrito Federal  2,160,000,000.00 2,160,000,000.00 565,181,562.84 428,717,211.99 341,498,071.54 96,587,274.10 12,381,592.40  01270000 - Cotaparte da Contribuição do Salário-Educação  0.00 0.00 0.00 0.00 0.00 0.00 63,793.13  01300000 - Cotaparte da Contribuição de Intervenção do Domínio Econômico  20,617,000.00 20,617,000.00 828,582.37 828,582.37 828,582.37 0.00 0.00  01400000 - Indenização pela Utilização de Recursos Hídricos e Exploração de Recursos Minerais  20,395,000.00 20,395,000.00 5,386,025.19 4,572,622.24 1,136,045.52 1,006,038.94 65,000.00  01450000 - Recursos do Royalties sobre o Petróleo  237,907,000.00 237,907,000.00 60,046,107.37 41,552,678.19 33,930,541.61 16,974,368.55 4,811,412.85  01460000 - Recursos do FUNDEB  1,763,234,000.00 1,763,234,000.00 295,854,370.49 265,491,867.50 262,390,278.82 18,168,521.85 7,761,597.36  01500000 - Outras Transferências de Recursos Federais  18,870,000.00 18,870,000.00 1,834,158.99 1,834,143.99 1,806,859.40 294,976.41 0.00  01550000 - Recursos de Transferência Financeira LC 87/96  12,000,000.00 12,000,000.00 9,826.83 0.00 0.00 159,349.39 439,725.32  01600000 - Recursos do FTI  874,378,000.00 874,378,000.00 147,464,974.95 69,053,395.31 47,276,469.81 22,802,280.08 5,493,535.35  01700000 - Recursos do FMPES  99,205,000.00 99,205,000.00 0.00 0.00 0.00 1,858,096.30 2,619,885.31  02010000 - Recursos Diretamente Arrecadados  296,128,000.00 296,128,000.00 103,177,808.03 46,772,661.04 38,255,692.61 5,644,479.03 55,564.94  02100000 - Acordos - Pepsi-Cola  0.00 0.00 0.00 0.00 0.00 0.00 1,950.00  02270000 - Recursos da Contribuição do Salário-Educação  60,000,000.00 60,000,000.00 39,763,237.18 4,517,931.53 1,530,145.80 1,727,049.88 446,487.78  02300000 - Recursos do Sistema Único de Saúde - SUS  457,729,000.00 457,729,000.00 83,270,154.71 31,291,757.41 25,629,991.79 38,291,971.44 2,492,402.87  02400000 - Transferências do FNAS  20,000.00 20,000.00 0.00 0.00 0.00 0.00 0.00  02460000 - Complementação do FUNDEB  0.00 200,000,000.00 151,841,595.83 8,239,386.99 4,387,187.20 0.00 0.00  02500000 - Transferências do FNDE  106,168,000.00 106,168,000.00 12,894,288.22 19,536.71 19,145.99 2,153,968.28 1,820,352.83  02610000 - Fundo Financeiro - RPPS  670,707,000.00 670,707,000.00 100,582,778.93 100,534,243.95 95,987,327.20 2,100,777.83 22,725.67  02620000 - Fundo Previdenciário - RPPS  465,830,000.00 465,830,000.00 4,101,178.13 4,044,074.31 3,323,888.60 0.00 0.00  02710000 - Operações de Crédito Internas 317,436,000.00 317,436,000.00 25,578,847.89 0.00 0.00 8,052,220.25 85,136.43  02750000 - Operações de Crédito Externas 261,871,000.00 261,871,000.00 103,565,459.75 17,750,909.55 15,636,940.72 12,415,638.91 2,349,054.42  02800000 - Convênios 46,920,000.00 46,920,000.00 15,151,281.39 6,522,868.67 45,889.27 834,748.26 254,481.35  02850000 - Outras Fontes 37,717,000.00 37,717,000.00 1,007,122.72 616,645.85 470,254.55 513,947.14 272,412.13  02950000 - Transferências de Entidades Internacionais  105,000.00 105,000.00 0.00 0.00 0.00 0.00 0.00  02960000 - Doações de Pessoas ou Instituições Privadas Nacionais  101,000.00 101,000.00 0.00 0.00 0.00 3,452.61 0.00  03000000 - Recursos Ordinários 0.00 0.00 0.00 0.00 0.00 33,153.01 1,613,422.50  03150000 - Alienação de Bens  0.00 0.00 0.00 0.00 0.00 41,591.00 912.00  03160000 - Contribuição para o Desenvolvimento do Ensino Superior  0.00 4,667,860.50 780,803.52 0.00 0.00 1,823,549.19 536.43  03180000 - RECURSOS DO FECOP  0.00 12,095,550.00 0.00 0.00 0.00 321,806.10 167,120.00  03210000 - Cotaparte do Fundo de Participação dos Estados e do Distrito Federal  0.00 0.00 0.00 0.00 0.00 55,936.00 0.00  03460000 - Recursos do FUNDEB  0.00 35,000,000.00 34,433,266.08 34,433,266.08 34,433,266.08 0.00 0.00  03600000 - Recursos do FTI  0.00 867,015.26 18,228.65 0.00 0.00 0.00 566,391.72  04010000 - Recursos Diretamente Arrecadados  0.00 30,606,571.63 14,356,359.84 4,426,901.66 3,713,715.99 1,669,348.09 1,721,950.21  04300000 - Recursos do Sistema Único de Saúde - SUS  0.00 13,502,986.55 6,110,378.89 104,565.00 62,112.00 4,853,110.04 459,662.46  04400000 - Transferências do FNAS  0.00 3,323,103.91 2,561,660.63 3,201.00 1,941.00 22,430.84 15,296.48  04500000 - Transferências do FNDE  0.00 0.00 0.00 0.00 0.00 1,930,896.60 40,800.00  04620000 - Fundo Previdenciário - RPPS  0.00 0.00 0.00 0.00 0.00 0.00 258.37  04710000 - Operações de Crédito Internas 0.00 13,308,465.79 1,225,617.05 0.00 0.00 0.00 0.00  04750000 - Operações de Crédito Externas 0.00 47,870,000.00 11,085,235.15 7,832,244.78 7,832,244.78 1,609,869.65 0.00  04800000 - Convênios 0.00 9,129,296.15 4,149,721.10 3,419,212.48 2,234,979.07 612,470.56 4,835,385.28  04850000 - Outras Fontes 0.00 4,155,589.08 133,416.56 131,016.56 121,340.47 1,002,005.82 51,224.02  04960000 - Doações de Pessoas ou Instituições Privadas Nacionais  0.00 24,000.00 0.00 0.00 0.00 126,414.69 16,622,866.66",,,,,,,
6,,,2019,Consolidado,Estado,Fonte de Recurso,Despesas::Estado::Fonte de Recurso,,,,,,,
7,,,2019,Consolidado,Estado,Fonte de Recurso,"Ano  2019  DOWNLOAD  Lista das Fontes de Recursos  Fonte de Recurso Dotação Inicial Autorizado Empenhado Liquidado Pago Pago Exercício Anterior A Pagar Exercício Anterior  Total:  17,297,084,000.00 17,748,335,786.65 4,376,065,637.36 3,425,936,306.12 3,043,822,930.73 437,821,842.19 187,535,541.97 01000000 - Recursos Ordinários  8,879,047,000.00 8,879,047,000.00 2,428,777,999.55 2,205,880,522.43 2,004,043,830.84 180,564,446.52 118,820,120.83  01100000 - Recursos de Depósitos Judiciais da LC 151/2015  25,080,000.00 101,781,347.78 53,654,977.28 53,648,719.65 53,648,719.65 0.00 0.00  01110000 - Acordos - Recofarma  1,569,000.00 1,569,000.00 0.00 0.00 0.00 0.00 0.00  01120000 - Acordos - Visteon  29,000.00 29,000.00 0.00 0.00 0.00 0.00 0.00  01130000 - Acordos - Manaus Refrigerante  1,000.00 1,000.00 0.00 0.00 0.00 0.00 0.00  01140000 - Acordos - Pepsi-Cola  404,000.00 404,000.00 0.00 0.00 0.00 0.00 0.00  01150000 - Alienação de Bens  951,000.00 951,000.00 0.00 0.00 0.00 0.00 0.00  01160000 - Contribuição para o Desenvolvimento do Ensino Superior  413,659,000.00 413,659,000.00 101,238,611.25 83,696,138.88 63,577,468.05 9,644,522.87 962,125.51  01180000 - RECURSOS DO FECOP  26,080,000.00 26,080,000.00 0.00 0.00 0.00 3,749,238.15 220,359.36  01190000 - Outras Contribuições Decorrentes de Incentivos Fiscais e Extra-Fiscais  22,489,000.00 22,489,000.00 0.00 0.00 0.00 171,893.81 0.00  01200000 - Contribuição do Desenvolvimento Humano  437,000.00 437,000.00 0.00 0.00 0.00 0.00 0.00  01210000 - Cotaparte do Fundo de Participação dos Estados e do Distrito Federal  2,160,000,000.00 2,160,000,000.00 565,181,562.84 428,717,211.99 341,498,071.54 96,587,274.10 12,381,592.40  01270000 - Cotaparte da Contribuição do Salário-Educação  0.00 0.00 0.00 0.00 0.00 0.00 63,793.13  01300000 - Cotaparte da Contribuição de Intervenção do Domínio Econômico  20,617,000.00 20,617,000.00 828,582.37 828,582.37 828,582.37 0.00 0.00  01400000 - Indenização pela Utilização de Recursos Hídricos e Exploração de Recursos Minerais  20,395,000.00 20,395,000.00 5,386,025.19 4,572,622.24 1,136,045.52 1,006,038.94 65,000.00  01450000 - Recursos do Royalties sobre o Petróleo  237,907,000.00 237,907,000.00 60,046,107.37 41,552,678.19 33,930,541.61 16,974,368.55 4,811,412.85  01460000 - Recursos do FUNDEB  1,763,234,000.00 1,763,234,000.00 295,854,370.49 265,491,867.50 262,390,278.82 18,168,521.85 7,761,597.36  01500000 - Outras Transferências de Recursos Federais  18,870,000.00 18,870,000.00 1,834,158.99 1,834,143.99 1,806,859.40 294,976.41 0.00  01550000 - Recursos de Transferência Financeira LC 87/96  12,000,000.00 12,000,000.00 9,826.83 0.00 0.00 159,349.39 439,725.32  01600000 - Recursos do FTI  874,378,000.00 874,378,000.00 147,464,974.95 69,053,395.31 47,276,469.81 22,802,280.08 5,493,535.35  01700000 - Recursos do FMPES  99,205,000.00 99,205,000.00 0.00 0.00 0.00 1,858,096.30 2,619,885.31  02010000 - Recursos Diretamente Arrecadados  296,128,000.00 296,128,000.00 103,177,808.03 46,772,661.04 38,255,692.61 5,644,479.03 55,564.94  02100000 - Acordos - Pepsi-Cola  0.00 0.00 0.00 0.00 0.00 0.00 1,950.00  02270000 - Recursos da Contribuição do Salário-Educação  60,000,000.00 60,000,000.00 39,763,237.18 4,517,931.53 1,530,145.80 1,727,049.88 446,487.78  02300000 - Recursos do Sistema Único de Saúde - SUS  457,729,000.00 457,729,000.00 83,270,154.71 31,291,757.41 25,629,991.79 38,291,971.44 2,492,402.87  02400000 - Transferências do FNAS  20,000.00 20,000.00 0.00 0.00 0.00 0.00 0.00  02460000 - Complementação do FUNDEB  0.00 200,000,000.00 151,841,595.83 8,239,386.99 4,387,187.20 0.00 0.00  02500000 - Transferências do FNDE  106,168,000.00 106,168,000.00 12,894,288.22 19,536.71 19,145.99 2,153,968.28 1,820,352.83  02610000 - Fundo Financeiro - RPPS  670,707,000.00 670,707,000.00 100,582,778.93 100,534,243.95 95,987,327.20 2,100,777.83 22,725.67  02620000 - Fundo Previdenciário - RPPS  465,830,000.00 465,830,000.00 4,101,178.13 4,044,074.31 3,323,888.60 0.00 0.00  02710000 - Operações de Crédito Internas 317,436,000.00 317,436,000.00 25,578,847.89 0.00 0.00 8,052,220.25 85,136.43  02750000 - Operações de Crédito Externas 261,871,000.00 261,871,000.00 103,565,459.75 17,750,909.55 15,636,940.72 12,415,638.91 2,349,054.42  02800000 - Convênios 46,920,000.00 46,920,000.00 15,151,281.39 6,522,868.67 45,889.27 834,748.26 254,481.35  02850000 - Outras Fontes 37,717,000.00 37,717,000.00 1,007,122.72 616,645.85 470,254.55 513,947.14 272,412.13  02950000 - Transferências de Entidades Internacionais  105,000.00 105,000.00 0.00 0.00 0.00 0.00 0.00  02960000 - Doações de Pessoas ou Instituições Privadas Nacionais  101,000.00 101,000.00 0.00 0.00 0.00 3,452.61 0.00  03000000 - Recursos Ordinários 0.00 0.00 0.00 0.00 0.00 33,153.01 1,613,422.50  03150000 - Alienação de Bens  0.00 0.00 0.00 0.00 0.00 41,591.00 912.00  03160000 - Contribuição para o Desenvolvimento do Ensino Superior  0.00 4,667,860.50 780,803.52 0.00 0.00 1,823,549.19 536.43  03180000 - RECURSOS DO FECOP  0.00 12,095,550.00 0.00 0.00 0.00 321,806.10 167,120.00  03210000 - Cotaparte do Fundo de Participação dos Estados e do Distrito Federal  0.00 0.00 0.00 0.00 0.00 55,936.00 0.00  03460000 - Recursos do FUNDEB  0.00 35,000,000.00 34,433,266.08 34,433,266.08 34,433,266.08 0.00 0.00  03600000 - Recursos do FTI  0.00 867,015.26 18,228.65 0.00 0.00 0.00 566,391.72  04010000 - Recursos Diretamente Arrecadados  0.00 30,606,571.63 14,356,359.84 4,426,901.66 3,713,715.99 1,669,348.09 1,721,950.21  04300000 - Recursos do Sistema Único de Saúde - SUS  0.00 13,502,986.55 6,110,378.89 104,565.00 62,112.00 4,853,110.04 459,662.46  04400000 - Transferências do FNAS  0.00 3,323,103.91 2,561,660.63 3,201.00 1,941.00 22,430.84 15,296.48  04500000 - Transferências do FNDE  0.00 0.00 0.00 0.00 0.00 1,930,896.60 40,800.00  04620000 - Fundo Previdenciário - RPPS  0.00 0.00 0.00 0.00 0.00 0.00 258.37  04710000 - Operações de Crédito Internas 0.00 13,308,465.79 1,225,617.05 0.00 0.00 0.00 0.00  04750000 - Operações de Crédito Externas 0.00 47,870,000.00 11,085,235.15 7,832,244.78 7,832,244.78 1,609,869.65 0.00  04800000 - Convênios 0.00 9,129,296.15 4,149,721.10 3,419,212.48 2,234,979.07 612,470.56 4,835,385.28  04850000 - Outras Fontes 0.00 4,155,589.08 133,416.56 131,016.56 121,340.47 1,002,005.82 51,224.02  04960000 - Doações de Pessoas ou Instituições Privadas Nacionais  0.00 24,000.00 0.00 0.00 0.00 126,414.69 16,622,866.66",,,,,,,
8,,,2019,Consolidado,Estado,Fonte de Recurso,Fonte de Recurso,Dotação Inicial,Autorizado,Empenhado,Liquidado,Pago,Pago Exercício Anterior,A Pagar Exercício Anterior
9,,,2019,Consolidado,Estado,Fonte de Recurso,Total:,17297084000.00,17748335786.65,4376065637.36,3425936306.12,3043822930.73,437821842.19,187535541.97
