,0,1,ano,periodo,grupo,consulta,Função,Dotação Inicial,Autorizado,Empenhado,Liquidado,Pago,Pago Exercício Anterior,A Pagar Exercício Anterior
0,,,2019,Consolidado,Estado,Função,,,,,,,,
1,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações  Data: 29/03/2019,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações  Data: 29/03/2019,2019,Consolidado,Estado,Função,,,,,,,,
2,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações,Data: 29/03/2019,2019,Consolidado,Estado,Função,,,,,,,,
3,Principal  BGE  LDO  LOA  LRF  Municípios  Recolhimento de ISS  Repasse aos Municípios  Repartição das Receitas TributáriasTransferências da União x Rateio aos Municípios  FUNDEB  Receitas  Despesas  Convênios e Transferências  Convênios de Entrada  Execução  Convênios de Saída/ Transf. Fundo a Fundo  Execução  Licitações e Contratos  Consultas  Credores Ativos  Relação de Pagamentos  Execução Orçamentária  Destaque Orçamentário  Salários dos Servidores  Relação de Pagamentos de Diárias  Links  Portal da Transparência do Amazonas  Acesso à Informação  Outras informações  O que é o Portal?  Como utilizar  Origem dos Dados  Manual do Usuário  Glossário  Fale Conosco  Cronograma NBCASP  Histórico de Atualizações,Data: 29/03/2019,2019,Consolidado,Estado,Função,,,,,,,,
4,,,2019,Consolidado,Estado,Função,,,,,,,,
5,,,2019,Consolidado,Estado,Função,"function setup() { }  function imprimirRelatorio(tipoDownload) {  var ano = document.getElementById('anoexercicio').value;  var mes = document.getElementById('mes').value;  var mesFinal = document.getElementById('mesFinal').value;  document.execDespAnoEstadoFuncaoForm.action= ""execDespAnoEstadoFuncao.do?method=Consultar&anoexercicio=""+ano+""&mes=""+mes+""&mesFinal=""+mesFinal+""&tipoDownload=""+tipoDownload;  document.execDespAnoEstadoFuncaoForm.submit(); 	}  function showAno() {  var ano = document.getElementById(""anoexercicio"").value;  var grupo = document.getElementById(""grupo"").value;  var consulta = document.getElementById(""consulta"").value;  var mes = document.getElementById(""mes"").value;  var mesFinal = document.getElementById(""mesFinal"").value;  document.execDespAnoEstadoFuncaoForm.action=""execDespAno.do?method=Pesquisar&anoexercicio=""+ano+""&grupo=""+grupo+""&consulta=""+consulta+""&mes=""+mes+""&mesFinal=""+mesFinal;  document.execDespAnoEstadoFuncaoForm.submit(); } Despesas::Estado::Função  Ano  2019  DOWNLOAD  Lista de Funções  Função Dotação Inicial Autorizado Empenhado Liquidado Pago Pago Exercício Anterior A Pagar Exercício Anterior  Total:  17,297,084,000.00 17,748,335,786.65 4,376,065,637.36 3,425,936,306.12 3,043,822,930.73 437,821,842.19 187,535,541.97 01-Legislativa  552,469,000.00 552,469,000.00 182,929,295.79 137,099,464.16 130,884,987.32 14,653,329.08 167,466.01  02-Judiciária  693,951,000.00 702,662,096.97 148,569,872.26 120,321,910.98 120,317,860.98 4,777,519.09 14,168,152.17  03-Essencial à Justica  323,182,000.00 325,133,489.41 77,932,813.33 66,306,596.77 58,323,439.85 4,464,345.60 35,535,936.17  04-Administração  557,166,200.00 556,207,060.74 167,576,146.01 137,238,152.55 113,727,625.47 28,100,898.54 800,599.43  06-Segurança Pública  1,822,921,000.00 1,851,051,101.49 529,942,792.15 496,232,984.52 437,517,368.62 66,377,875.62 7,469,632.68  08-Assistência Social  74,030,000.00 77,619,510.47 16,062,532.01 9,077,334.69 6,328,239.27 2,013,502.36 788,128.82  09-Previdência Social  1,218,498,300.00 1,218,485,600.18 364,541,881.84 358,973,216.95 325,482,951.49 2,741,833.89 22,984.04  10-Saúde  2,446,992,000.00 2,461,162,552.09 777,111,206.92 513,355,984.43 452,023,450.47 113,286,144.87 21,396,057.58  11-Trabalho  7,350,000.00 8,631,735.99 2,823,573.45 1,869,290.42 1,637,542.05 170,911.70 69,032.37  12-Educação  3,138,335,000.00 3,419,708,710.50 775,706,340.22 503,241,333.45 439,357,862.79 127,760,482.69 67,530,180.58  13-Cultura  100,810,000.00 102,772,443.42 55,113,772.54 31,369,611.44 22,094,360.39 1,687,327.79 1,609,648.78  14-Direitos da Cidadania  505,127,000.00 510,825,184.72 142,678,439.86 98,929,325.84 72,990,219.82 12,358,898.25 17,221,389.67  15-Urbanismo  207,968,000.00 271,707,215.94 133,100,260.50 34,635,661.72 30,150,126.04 7,648,568.71 2,866,143.16  16-Habitação  49,693,000.00 59,112,398.65 8,958,958.11 4,031,994.01 3,816,261.15 6,549.00 1,602.00  17-Saneamento  49,584,500.00 56,471,525.23 19,723,599.83 5,564,516.46 5,289,436.49 928,386.73 1,600,090.92  18-Gestão Ambiental  37,567,000.00 44,565,362.81 14,414,375.68 8,001,550.31 6,978,541.00 1,491,106.40 1,530,607.11  19-Ciência e Tecnologia  127,457,000.00 127,444,068.87 8,764,441.74 7,303,330.53 6,867,454.81 5,797,660.96 6,462,484.47  20-Agricultura  339,666,000.00 341,760,124.89 29,048,858.93 21,484,317.75 17,170,441.37 4,621,027.26 3,196,606.16  21-Organização Agrária  12,734,500.00 13,684,500.00 3,626,485.84 3,201,834.37 2,707,445.20 240,618.33 335,952.11  23-Comércio e Serviços  86,292,000.00 87,673,000.00 11,937,947.81 8,634,220.30 8,001,938.99 1,228,168.50 640,410.67  24-Comunicações  68,509,000.00 68,509,000.00 16,832,287.64 10,366,396.31 7,702,437.66 1,970,023.71 2,476,331.19  26-Transporte  326,803,000.00 281,116,944.52 43,290,040.64 8,848,292.32 2,252,840.82 109,361.19 386,353.59  27-Desporto e Lazer  28,990,000.00 28,990,000.00 7,576,007.35 5,996,367.59 3,925,176.77 262,908.05 1,258,815.29  28-Encargos Especiais  3,652,108,500.00 3,733,691,785.78 837,803,706.91 833,852,618.25 768,274,921.91 35,124,393.87 937.00  99-Reserva de Contingência  868,880,000.00 846,881,373.98 0.00 0.00 0.00 0.00 0.00",,,,,,,
6,,,2019,Consolidado,Estado,Função,Despesas::Estado::Função,,,,,,,
7,,,2019,Consolidado,Estado,Função,"Ano  2019  DOWNLOAD  Lista de Funções  Função Dotação Inicial Autorizado Empenhado Liquidado Pago Pago Exercício Anterior A Pagar Exercício Anterior  Total:  17,297,084,000.00 17,748,335,786.65 4,376,065,637.36 3,425,936,306.12 3,043,822,930.73 437,821,842.19 187,535,541.97 01-Legislativa  552,469,000.00 552,469,000.00 182,929,295.79 137,099,464.16 130,884,987.32 14,653,329.08 167,466.01  02-Judiciária  693,951,000.00 702,662,096.97 148,569,872.26 120,321,910.98 120,317,860.98 4,777,519.09 14,168,152.17  03-Essencial à Justica  323,182,000.00 325,133,489.41 77,932,813.33 66,306,596.77 58,323,439.85 4,464,345.60 35,535,936.17  04-Administração  557,166,200.00 556,207,060.74 167,576,146.01 137,238,152.55 113,727,625.47 28,100,898.54 800,599.43  06-Segurança Pública  1,822,921,000.00 1,851,051,101.49 529,942,792.15 496,232,984.52 437,517,368.62 66,377,875.62 7,469,632.68  08-Assistência Social  74,030,000.00 77,619,510.47 16,062,532.01 9,077,334.69 6,328,239.27 2,013,502.36 788,128.82  09-Previdência Social  1,218,498,300.00 1,218,485,600.18 364,541,881.84 358,973,216.95 325,482,951.49 2,741,833.89 22,984.04  10-Saúde  2,446,992,000.00 2,461,162,552.09 777,111,206.92 513,355,984.43 452,023,450.47 113,286,144.87 21,396,057.58  11-Trabalho  7,350,000.00 8,631,735.99 2,823,573.45 1,869,290.42 1,637,542.05 170,911.70 69,032.37  12-Educação  3,138,335,000.00 3,419,708,710.50 775,706,340.22 503,241,333.45 439,357,862.79 127,760,482.69 67,530,180.58  13-Cultura  100,810,000.00 102,772,443.42 55,113,772.54 31,369,611.44 22,094,360.39 1,687,327.79 1,609,648.78  14-Direitos da Cidadania  505,127,000.00 510,825,184.72 142,678,439.86 98,929,325.84 72,990,219.82 12,358,898.25 17,221,389.67  15-Urbanismo  207,968,000.00 271,707,215.94 133,100,260.50 34,635,661.72 30,150,126.04 7,648,568.71 2,866,143.16  16-Habitação  49,693,000.00 59,112,398.65 8,958,958.11 4,031,994.01 3,816,261.15 6,549.00 1,602.00  17-Saneamento  49,584,500.00 56,471,525.23 19,723,599.83 5,564,516.46 5,289,436.49 928,386.73 1,600,090.92  18-Gestão Ambiental  37,567,000.00 44,565,362.81 14,414,375.68 8,001,550.31 6,978,541.00 1,491,106.40 1,530,607.11  19-Ciência e Tecnologia  127,457,000.00 127,444,068.87 8,764,441.74 7,303,330.53 6,867,454.81 5,797,660.96 6,462,484.47  20-Agricultura  339,666,000.00 341,760,124.89 29,048,858.93 21,484,317.75 17,170,441.37 4,621,027.26 3,196,606.16  21-Organização Agrária  12,734,500.00 13,684,500.00 3,626,485.84 3,201,834.37 2,707,445.20 240,618.33 335,952.11  23-Comércio e Serviços  86,292,000.00 87,673,000.00 11,937,947.81 8,634,220.30 8,001,938.99 1,228,168.50 640,410.67  24-Comunicações  68,509,000.00 68,509,000.00 16,832,287.64 10,366,396.31 7,702,437.66 1,970,023.71 2,476,331.19  26-Transporte  326,803,000.00 281,116,944.52 43,290,040.64 8,848,292.32 2,252,840.82 109,361.19 386,353.59  27-Desporto e Lazer  28,990,000.00 28,990,000.00 7,576,007.35 5,996,367.59 3,925,176.77 262,908.05 1,258,815.29  28-Encargos Especiais  3,652,108,500.00 3,733,691,785.78 837,803,706.91 833,852,618.25 768,274,921.91 35,124,393.87 937.00  99-Reserva de Contingência  868,880,000.00 846,881,373.98 0.00 0.00 0.00 0.00 0.00",,,,,,,
8,,,2019,Consolidado,Estado,Função,Função,Dotação Inicial,Autorizado,Empenhado,Liquidado,Pago,Pago Exercício Anterior,A Pagar Exercício Anterior
9,,,2019,Consolidado,Estado,Função,Total:,17297084000.00,17748335786.65,4376065637.36,3425936306.12,3043822930.73,437821842.19,187535541.97
